,通话ID,是否合格,命中词语,命中词语数量
0,9144800540740000301,不合格,,0
1,9144800551490000301,合格,"您好, 大金, 空调, 客服, 请问, 女士",6
2,9144800551970000301,合格,"请问, 先生, 您好, 大金",4
3,9144800564010000301,合格,"您好, 大金, 空调, 请问",4
4,9144800566770000301,合格,"您好, 先生, 空调, 客服",4
5,9144800573730000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
6,9144800580160000301,不合格,,0
7,9144800585950000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
8,9144800588150000301,合格,"您好, 空调, 请问, 先生",4
9,9144800589070000301,合格,"您好, 大金, 空调, 客服",4
10,9144800589370000301,不合格,"您好, 先生",2
11,9144800598720000301,合格,"您好, 大金, 空调",3
12,9144800599430000301,合格,"先生, 您好, 大金, 空调",4
13,9144800603990000301,不合格,,0
14,9144800616140000301,合格,"您好, 空调, 客服, 请问, 先生",5
15,9144800626240000301,合格,"您好, 空调, 客服",3
16,9144800632630000301,合格,"您好, 客服, 请问, 先生, 大金, 空调",6
17,9144800634630000301,不合格,,0
18,9144800636930000301,合格,"您好, 大金, 空调, 客服",4
19,9144800650110000301,不合格,"您好, 请问",2
20,9144800674940000301,不合格,请问,1
21,9144800677970000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
22,9144800691040000301,合格,"您好, 客服, 先生",3
23,9144800713730000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
24,9144800728710000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
25,9144800731440000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
26,9144800736370000301,合格,"您好, 大金, 空调, 客服, 请问, 女士",6
27,9144800745000000301,合格,"您好, 先生, 大金, 空调, 客服",5
28,9144800756850000301,合格,"您好, 大金, 空调, 客服, 请问",5
29,9144800763770000301,合格,"您好, 大金, 空调, 客服",4
30,9144800770910000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
31,9144800788350000301,合格,"您好, 空调, 客服, 请问, 女士",5
32,9144801267650000301,不合格,"请问, 售后",2
33,9144801271330000301,合格,"您好, 大金, 空调, 客服",4
34,9144801310650000301,不合格,"您好, 空调",2
35,9144801317040000301,合格,"您好, 空调, 请问",3
36,9144801325400000301,不合格,"您好, 请问",2
37,9144801330050000301,合格,"您好, 大金, 空调",3
38,9144801339130000301,不合格,"空调, 客服",2
39,9144801340250000301,合格,"您好, 大金, 空调, 客服",4
40,9144801359210000301,合格,"您好, 大金, 空调",3
41,9144801359220000301,不合格,客服,1
42,9144801375750000301,合格,"您好, 先生, 大金, 空调",4
43,9144801377560000301,不合格,"您好, 客服",2
44,9144801399990000301,不合格,"大金, 空调",2
45,9144801402210000301,合格,"您好, 大金, 空调, 客服",4
46,9144801404770000301,不合格,,0
47,9144801409830000301,不合格,空调,1
48,9144801411350000301,不合格,,0
49,9144801415050000301,不合格,,0
50,9144801731520000301,合格,"您好, 空调, 请问",3
51,9144801753400000301,合格,"您好, 空调, 请问",3
52,9144801765390000301,合格,"您好, 大金, 空调, 请问, 女士",5
53,9144801767730000301,不合格,"大金, 客服",2
54,9144801786460000301,合格,"您好, 空调, 客服, 请问, 先生",5
55,9144801822750000301,合格,"您好, 空调, 客服, 请问, 先生",5
56,9144801843900000301,合格,"大金, 空调, 客服",3
57,9144801849940000301,不合格,,0
58,9144801857460000301,合格,"您好, 先生, 空调, 客服",4
59,9144801859920000301,合格,"您好, 空调, 客服, 请问, 先生",5
60,9144801869100000301,合格,"您好, 请问, 先生",3
61,9144801882990000301,合格,"您好, 空调, 客服, 请问, 先生",5
62,9144801893960000301,合格,"您好, 女士, 大金, 空调, 客服",5
63,9144801902490000301,合格,"您好, 空调, 请问, 先生",4
64,9144802021680000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
65,9144802152010000301,不合格,请问,1
66,9144802351390000301,不合格,客服,1
67,9144802455040000301,合格,"请问, 女士, 大金, 空调, 客服",5
68,9144802470530000301,不合格,,0
69,9204480055800000012,合格,"为您服务, 您好, 售后, 高兴, 请问",5
70,9204480057320000022,合格,"为您服务, 售后, 高兴, 请问, 需要, 帮助",6
71,9204480058950000022,合格,"为您服务, 高兴, 请问",3
72,9204480059550000012,不合格,女士,1
73,9204480061870000012,合格,"为您服务, 售后, 高兴, 请问",4
74,9204480062660000022,合格,"为您服务, 售后, 高兴, 请问, 帮助",5
75,9204480064580000012,合格,"为您服务, 高兴, 请问, 需要, 帮助",5
76,9204480069320000012,合格,"为您服务, 大金, 售后, 高兴, 请问, 帮助",6
77,9204480073470000022,合格,"为您服务, 高兴, 请问",3
78,9204480074420000012,合格,"为您服务, 售后, 高兴, 请问",4
79,9204480074440000022,合格,"为您服务, 售后, 高兴, 请问",4
80,9204480077600000012,合格,"为您服务, 售后, 高兴, 请问, 帮助",5
81,9204480079460000012,合格,"为您服务, 先生, 高兴, 请问, 需要, 帮助",6
82,9204480081210000012,合格,"为您服务, 大金, 高兴, 请问, 您好",5
83,9204480082910000012,合格,"为您服务, 售后, 高兴, 请问, 帮助",5
84,9204480083030000022,合格,"为您服务, 大金, 售后, 高兴, 请问, 需要, 帮助",7
85,9204480130340000012,合格,"为您服务, 售后, 高兴, 请问",4
86,9204480130870000012,合格,"为您服务, 售后, 高兴, 请问",4
87,9204480131320000022,合格,"为您服务, 大金, 售后, 高兴, 请问, 需要, 帮助",7
88,9204480137510000012,合格,"为您服务, 高兴, 请问",3
89,9204480140830000012,合格,"为您服务, 售后, 高兴, 请问",4
90,9204480141450000022,合格,"为您服务, 高兴, 请问",3
91,9204480178610000022,合格,"为您服务, 售后, 高兴, 请问",4
92,9204480184320000022,合格,"为您服务, 高兴, 请问",3
93,9204480187410000012,合格,"为您服务, 高兴, 请问",3
94,9204480190950000022,合格,"为您服务, 高兴, 请问",3
95,9204480194620000012,合格,"为您服务, 售后, 高兴, 请问",4
96,9204480196570000022,合格,"为您服务, 大金, 售后, 高兴, 请问, 需要, 帮助",7
97,9204480211040000022,合格,"为您服务, 售后, 高兴, 请问, 需要, 帮助",6
98,9204480223520000022,合格,"为您服务, 售后, 高兴, 请问",4
99,9204480243430000022,合格,"为您服务, 大金, 售后, 高兴, 请问, 需要, 帮助",7
